Zip,Price,Area,Room,PriceSqm
1069 TS,225000.0,60,3,3750.0
1077 KC,1099000.0,165,5,6660.606060606061
1071 ED,895000.0,103,3,8689.320388349515
1027 EZ,899000.0,258,1,3484.4961240310076
1076 KV,799000.0,146,5,5472.602739726028
1066 TC,719000.0,129,4,5573.643410852713
1013 EW,750000.0,119,6,6302.5210084033615
1066 MP,285000.0,37,2,7702.7027027027025
1066 MP,285000.0,37,2,7702.7027027027025
1015 CJ,900000.0,111,2,8108.108108108108
1087 LL,475000.0,93,3,5107.5268817204305
1067 VM,545000.0,110,4,4954.545454545455
1052 KH,685000.0,94,3,7287.234042553191
1075 ET,2200000.0,198,7,11111.111111111111
1017 CW,650000.0,81,3,8024.691358024691
1032 KK,1100011.0,207,5,5314.062801932367
1054 LR,1200000.0,81,3,14814.814814814816
1028 BE,1495000.0,214,5,6985.981308411215
1055 RD,295000.0,47,2,6276.595744680851
1012 XJ,1000000.0,117,4,8547.008547008547
1012 VH,1150000.0,162,5,7098.765432098766
1018 TP,2250000.0,250,8,9000.0
1072 AN,1350000.0,173,5,7803.468208092486
1072 AN,1650000.0,232,9,7112.068965517241
1076 XP,2750000.0,309,8,8899.676375404531
1086 ZK,1050000.0,216,7,4861.111111111111
1011 BG,469000.0,90,3,5211.111111111111
1035 PG,669000.0,107,5,6252.336448598131
1108 CA,300000.0,71,2,4225.352112676056
1055 KM,425000.0,49,2,8673.469387755102
1087 DP,749000.0,150,5,4993.333333333333
1060 RZ,700000.0,186,8,3763.440860215054
1011 TE,389000.0,30,2,12966.666666666666
1066 EM,900000.0,187,6,4812.834224598931
1019 AW,1750000.0,246,8,7113.821138211382
1102 TS,275000.0,85,4,3235.294117647059
1075 BM,3500000.0,374,7,9358.288770053476
1066 GE,400000.0,79,3,5063.291139240507
1094 PT,850000.0,110,2,7727.272727272727
1077 PN,1700000.0,203,5,8374.384236453201
1017 AD,2325000.0,150,6,15500.0
1017 AV,1495000.0,175,6,8542.857142857143
1019 BG,549000.0,91,5,6032.9670329670325
1071 AB,1375000.0,115,3,11956.521739130434
1016 KH,1250000.0,165,7,7575.757575757576
1013 HC,500000.0,72,2,6944.444444444444
1033 WG,575000.0,183,5,3142.0765027322404
1017 ZM,2475000.0,183,3,13524.590163934427
1011 AR,1425000.0,257,4,5544.747081712062
1071 BW,1695000.0,117,3,14487.179487179486
1060 PJ,515000.0,130,4,3961.5384615384614
1082 MT,1095000.0,134,3,8171.641791044776
1071 AK,2500000.0,202,6,12376.237623762376
1025 CW,519900.0,120,5,4332.5
1018 EK,700000.0,88,5,7954.545454545455
1073 VE,2650000.0,387,10,6847.545219638243
1078 EW,1149000.0,141,6,8148.936170212766
1102 HJ,280000.0,93,4,3010.7526881720432
1011 NA,600000.0,129,4,4651.162790697675
1014 ZP,950000.0,94,1,10106.382978723404
1012 NH,849000.0,120,3,7075.0
1031 KV,3680000.0,374,4,9839.57219251337
1057 XW,850000.0,149,7,5704.697986577181
1073 RN,750750.0,114,4,6585.526315789473
1012 GH,1400000.0,213,7,6572.769953051643
1016 AE,4900000.0,623,13,7865.168539325843
1027 AD,899000.0,128,5,7023.4375
1027 AD,895000.0,95,3,9421.052631578947
1027 AH,1695000.0,467,14,3629.5503211991436
1077 KG,1085000.0,131,5,8282.442748091604
1065 TJ,300000.0,30,3,10000.0
1011 VB,649000.0,82,3,7914.634146341464
1011 VB,785000.0,105,5,7476.190476190476
1065 AH,565000.0,94,3,6010.63829787234
1035 RW,1395000.0,133,3,10488.721804511279
1017 KE,795000.0,102,3,7794.117647058823
1016 VM,1200000.0,121,4,9917.355371900827
1017 BW,995000.0,146,3,6815.068493150685
1017 KP,775000.0,127,3,6102.36220472441
1017 KP,825000.0,148,3,5574.324324324324
1027 EZ,1249000.0,258,5,4841.085271317829
1067 HP,,366,12,
1067 EP,380000.0,100,4,3800.0
1102 AZ,450000.0,120,5,3750.0
1019 RS,399000.0,66,2,6045.454545454545
1015 WH,650000.0,102,3,6372.549019607844
1066 HR,485000.0,109,1,4449.54128440367
1054 DT,1599000.0,139,5,11503.597122302159
1069 LW,950000.0,226,7,4203.539823008849
1066 DE,629000.0,127,4,4952.755905511811
1023 NM,359000.0,69,4,5202.898550724638
1095 AE,419000.0,75,4,5586.666666666667
1102 VE,250000.0,60,3,4166.666666666667
1106 AP,320000.0,104,5,3076.923076923077
1015 AG,3500000.0,348,8,10057.471264367816
1103 DH,415000.0,115,4,3608.695652173913
1018 GW,750000.0,124,5,6048.387096774193
1081 GP,420000.0,73,3,5753.424657534247
1013 AD,525000.0,63,3,8333.333333333334
1087 GL,550000.0,107,4,5140.186915887851
1093 ER,450000.0,60,4,7500.0
1076 ST,425000.0,54,3,7870.37037037037
1016 LN,699000.0,108,6,6472.222222222223
1074 HZ,675000.0,95,3,7105.263157894737
1058 BD,1150000.0,150,5,7666.666666666667
1014 ZC,1250000.0,131,4,9541.984732824427
1014 ZC,1450000.0,158,4,9177.215189873417
1018 AA,240000.0,26,1,9230.76923076923
1069 RT,345000.0,80,3,4312.5
1016 NX,425000.0,56,3,7589.285714285715
1102 XH,250000.0,60,2,4166.666666666667
1092 VA,485000.0,59,3,8220.338983050848
1054 HR,1200000.0,166,5,7228.915662650603
1065 JN,325000.0,71,4,4577.4647887323945
1061 BM,275000.0,39,2,7051.282051282052
1083 VA,365000.0,78,3,4679.48717948718
1107 AX,300000.0,84,4,3571.4285714285716
1052 GP,485000.0,67,3,7238.805970149254
1015 XP,725000.0,87,4,8333.333333333334
1060 TX,325000.0,87,3,3735.632183908046
1102 TV,225000.0,61,3,3688.5245901639346
1014 ZG,690000.0,100,3,6900.0
1015 ZH,250000.0,28,1,8928.57142857143
1054 WX,825000.0,114,3,7236.8421052631575
1103 LK,239000.0,53,3,4509.433962264151
1053 LD,400000.0,49,2,8163.265306122449
1058 LB,430000.0,58,3,7413.793103448276
1098 ER,485000.0,65,3,7461.538461538462
1057 CW,300000.0,44,2,6818.181818181818
